ZONA,ZONA -DIM,DIRECCION,CIUDAD,TELEFONO,LOCATION
6,ZONA 06,Barrio Ancon Antiguas Instalaciones de la Sexta brigada,Ibague,2722083 2624470,4.4482632, -75.2381406
3,DIM 17,Carrera 80 #4 - 26 Tercera Brigada,Cali,3240658,3.385862, -76.545029
4,DIM 28,Calle 50 con Carrera 4 Esquina. Barrio Centro,Puerto berrrio,8335299,6.488814, -74.401532
9,ZONA 09,cr 16 No 21-300 Barrio La Libertad,Neiva,8753133  8750355,2.9388684, -75.2819194
9,DIM 56,KM 5 via San Agustin No 2 -50,Pitalito,8360340,1.8457795, -76.0903911
4,DIM 27,Calle 45 #18-85 Batallon de Artilleria No 04,Medellin,6050013,6.2339216, -75.5469341
3,DIM 18,"Via pradera Batalon Codazzi",Palmira,2703537,3.385853, -76.54499
13,DIM 52,Escuela Artilleria,Bogota,7390632,4.5494637, -74.1223714
8,ZONA 08,Av. Bolivar No 25 Norte -00,Armenia,7495818  7485593,5.0471758, -75.4838312
2,DIM 45,Batallon de Infateria Mecanizado N°6 Cartagena,Riohacha,0,11.511275, -72.865347
13,DIM 59,Calle 19 con Carrera 6,Soacha,7810524,4.5823678, -74.2140955
